iso,income_group,pop,pop_hcw,pop_old,name
AFG,LIC,38928346.0,997519.0,3610145.0,Afghanistan
ALB,UMIC,2877800.0,36791.0,628565.0,Albania
DZA,LMIC,43851044.0,387079.0,8430581.0,Algeria
ASM,UMIC,55197.0,,,American Samoa
AND,HIC,77265.0,3893.0,18469.0,Andorra
AGO,LMIC,32866272.0,251284.0,2768485.0,Angola
AIA,Other,15002.0,,,Anguilla
ATG,HIC,97929.0,4896.0,14416.0,Antigua and Barbuda
ARG,UMIC,45195774.0,1159948.0,7153405.0,Argentina
ARM,UMIC,2963234.0,51461.0,564771.0,Armenia
ABW,HIC,106766.0,,24177.0,Aruba
AUS,HIC,25499884.0,1792626.0,4255305.0,Australia
AUT,HIC,8901064.0,475869.0,2366793.0,Austria
AZE,UMIC,10139175.0,189417.0,1254698.0,Azerbaijan
BHS,HIC,393244.0,11955.0,50458.0,Bahamas
BHR,HIC,1701575.0,5071.0,98872.0,Bahrain
BGD,LMIC,164689383.0,556201.0,13696840.0,Bangladesh
BRB,HIC,287375.0,7508.0,68331.0,Barbados
BLR,UMIC,9449321.0,385996.0,2195420.0,Belarus
BEL,HIC,11522440.0,727440.0,3025414.0,Belgium
BLZ,LMIC,397628.0,4413.0,31947.0,Belize
BEN,LMIC,12123200.0,48797.0,1310087.0,Benin
BMU,HIC,62273.0,,,Bermuda
BTN,LMIC,771608.0,12228.0,71223.0,Bhutan
BOL,LMIC,11673021.0,132813.0,1245333.0,Bolivia
BIH,UMIC,3280815.0,55710.0,848963.0,Bosnia and Herzegovina
BWA,UMIC,2351627.0,23610.0,171500.0,Botswana
BRA,UMIC,212559417.0,4831725.0,31043870.0,Brazil
VGB,HIC,30237.0,,,British Virgin Islands
BRN,HIC,437479.0,6106.0,44365.0,Brunei Darussalam
BGR,UMIC,6951482.0,164649.0,1959779.0,Bulgaria
BFA,LIC,20903273.0,56988.0,1864749.0,Burkina Faso
BDI,LIC,11890784.0,7888.0,1320725.0,Burundi
CPV,LMIC,555987.0,4643.0,93080.0,Cabo Verde
KHM,LMIC,16718965.0,57786.0,1323073.0,Cambodia
CMR,LMIC,26545863.0,186521.0,2512864.0,Cameroon
CAN,HIC,37742154.0,2629087.0,9678405.0,Canada
CAF,LIC,4829767.0,8672.0,458019.0,Central African Republic
CYM,HIC,65720.0,,,Cayman Islands
TCD,LIC,16425864.0,31500.0,424973.0,Chad
CHL,HIC,19116201.0,505945.0,3449362.0,Chile
CHN,UMIC,1471286879.0,18032270.0,258370873.0,China
MNP,HIC,57557.0,,,Northern Mariana Islands
COL,UMIC,50882891.0,1047323.0,6985756.0,Colombia
COM,LMIC,869601.0,2334.0,98646.0,Comoros
COG,LMIC,5518087.0,22903.0,604714.0,Congo
COK,Other,17564.0,352.0,808.0,Cook Islands
CRI,UMIC,5094118.0,85457.0,801922.0,Costa Rica
CIV,LMIC,26378274.0,110740.0,2643443.0,Côte d'Ivoire
HRV,HIC,4058165.0,109592.0,1171841.0,Croatia
CUB,UMIC,11326616.0,576167.0,2487080.0,Cuba
CUW,HIC,164093.0,,41471.0,Curaçao
CYP,HIC,888005.0,29016.0,245598.0,Cyprus
CZE,HIC,10693939.0,376756.0,2825598.0,Czechia
DNK,HIC,5822763.0,519988.0,1534340.0,Denmark
DJI,LMIC,988000.0,7124.0,156816.0,Djibouti
DMA,UMIC,71991.0,1440.0,11663.0,Dominica
DOM,UMIC,10847910.0,180250.0,1251287.0,Dominican Republic
COD,LIC,89561403.0,321770.0,6322794.0,Democratic Republic of the Congo
ECU,UMIC,17643054.0,208611.0,2018072.0,Ecuador
EGY,LMIC,102334404.0,815267.0,8717911.0,Egypt
SLV,LMIC,6486205.0,67857.0,800876.0,El Salvador
GNQ,UMIC,1402985.0,12930.0,54141.0,Equatorial Guinea
EST,HIC,1328976.0,40870.0,360416.0,Estonia
SWZ,LMIC,1160164.0,14530.0,120384.0,Eswatini
ETH,LIC,114963588.0,416370.0,4201564.0,Ethiopia
FJI,UMIC,896445.0,3851.0,89863.0,Fiji
FIN,HIC,5525292.0,425664.0,1630214.0,Finland
FRA,HIC,65039359.0,4152645.0,17797436.0,France
GUF,Other,298682.0,,27967.0,French Guiana
PYF,HIC,280908.0,,39749.0,French Polynesia
GAB,UMIC,2225734.0,19096.0,264199.0,Gabon
GMB,LIC,2416668.0,5634.0,218168.0,Gambia
GEO,UMIC,3989175.0,75607.0,871852.0,Georgia
DEU,HIC,83166711.0,5584434.0,24440892.0,Germany
GHA,LMIC,31072940.0,404780.0,1724221.0,Ghana
GRC,HIC,10718565.0,247791.0,3029473.0,Greece
GRD,UMIC,112523.0,2252.0,17160.0,Grenada
GLP,Other,400124.0,,107188.0,Guadeloupe
GUM,HIC,168775.0,,46970.0,Guam
