iso,dvr_4wk_td_per,dvr_4wk_td,date
ABW,0.16,167.0,2021-02-21
ABW,0.36,384.0,2021-02-28
ABW,0.49,522.0,2021-03-05
ABW,0.45,483.0,2021-03-08
ABW,0.53,564.0,2021-03-21
ABW,0.64,682.0,2021-03-28
ABW,0.71,762.0,2021-04-04
ABW,0.91,975.0,2021-04-11
ABW,1.19,1274.0,2021-04-18
ABW,1.41,1507.0,2021-04-25
ABW,1.54,1639.0,2021-04-30
ABW,1.5,1603.0,2021-05-03
ABW,1.35,1441.0,2021-05-10
ABW,1.17,1253.0,2021-05-17
ABW,1.24,1319.0,2021-05-29
ABW,1.26,1344.0,2021-06-04
ABW,1.21,1287.0,2021-06-07
ABW,1.03,1100.0,2021-06-14
ABW,0.71,753.0,2021-06-21
ABW,0.41,437.0,2021-06-28
ABW,0.39,414.0,2021-07-08
ABW,0.37,400.0,2021-07-12
ABW,0.34,364.0,2021-07-19
ABW,0.33,353.0,2021-07-26
ABW,0.31,335.0,2021-08-02
ABW,0.28,296.0,2021-08-09
ABW,0.3,318.0,2021-08-22
ABW,0.34,366.0,2021-08-27
ABW,0.34,363.0,2021-08-30
ABW,0.32,347.0,2021-09-06
ABW,0.34,361.0,2021-09-16
ABW,0.31,326.0,2021-09-20
ABW,0.25,269.0,2021-09-27
ABW,0.24,256.0,2021-10-04
ABW,0.19,206.0,2021-10-11
ABW,0.14,145.0,2021-10-18
ABW,0.12,124.0,2021-10-25
ABW,0.1,104.0,2021-11-01
ABW,0.09,92.0,2021-11-08
ABW,0.07,80.0,2021-11-15
ABW,0.08,81.0,2021-11-24
ABW,0.07,76.0,2021-11-29
ABW,0.06,65.0,2021-12-06
ABW,0.06,60.0,2021-12-13
ABW,0.05,55.0,2021-12-20
ABW,0.06,59.0,2021-12-27
ABW,0.06,62.0,2022-01-03
ABW,0.08,81.0,2022-01-13
ABW,0.07,77.0,2022-01-17
ABW,0.09,91.0,2022-01-27
ABW,0.09,97.0,2022-01-31
ABW,0.08,87.0,2022-02-07
ABW,0.09,91.0,2022-02-18
ABW,0.07,76.0,2022-02-21
ABW,0.05,54.0,2022-02-28
ABW,0.06,60.0,2022-03-10
ABW,0.05,50.0,2022-03-14
ABW,0.04,38.0,2022-03-22
ABW,0.05,48.0,2022-04-01
ABW,0.05,48.0,2022-04-09
ABW,0.05,49.0,2022-04-11
