income_group,datetime,del_dose_add_pc
HIC,2021-08-01,1.243
HIC,2021-09-01,1.406
HIC,2021-10-01,1.634
HIC,2021-11-01,1.899
HIC,2021-12-01,2.056
HIC,2022-01-01,2.214
HIC,2022-02-01,2.336
HIC,2022-03-01,2.444
HIC,2022-04-01,2.525
HIC,2022-05-01,2.582
HIC,2022-06-01,2.619
HIC,2022-07-01,2.662
HIC,2022-08-01,2.684
HIC,2022-09-01,2.799
HIC,2022-10-01,2.861
HIC,2022-11-01,3.004
HIC,2022-12-01,3.067
HIC,2023-01-01,3.112
HIC,2023-02-01,3.125
HIC,2023-03-01,3.141
HIC,2023-04-01,3.205
HIC,2023-05-01,3.221
HIC,2023-06-01,3.232
HIC,2023-07-01,3.244
HIC,2023-08-01,3.249
HIC,2023-09-01,3.266
LIC,2021-08-01,0.046
LIC,2021-09-01,0.069
LIC,2021-10-01,0.101
LIC,2021-11-01,0.168
LIC,2021-12-01,0.259
LIC,2022-01-01,0.294
LIC,2022-02-01,0.359
LIC,2022-03-01,0.388
LIC,2022-04-01,0.398
LIC,2022-05-01,0.431
LIC,2022-06-01,0.459
LIC,2022-07-01,0.51
LIC,2022-08-01,0.53
LIC,2022-09-01,0.552
LIC,2022-10-01,0.576
LIC,2022-11-01,0.616
LIC,2022-12-01,0.636
LIC,2023-01-01,0.641
LIC,2023-02-01,0.656
LIC,2023-03-01,0.684
LIC,2023-04-01,0.701
LIC,2023-05-01,0.704
LIC,2023-06-01,0.708
LIC,2023-07-01,0.711
LIC,2023-08-01,0.714
LIC,2023-09-01,0.718
LMIC,2021-08-01,0.327
LMIC,2021-09-01,0.47
LMIC,2021-10-01,0.556
LMIC,2021-11-01,0.753
LMIC,2021-12-01,1.008
LMIC,2022-01-01,1.136
LMIC,2022-02-01,1.286
LMIC,2022-03-01,1.332
LMIC,2022-04-01,1.374
LMIC,2022-05-01,1.421
LMIC,2022-06-01,1.456
LMIC,2022-07-01,1.505
LMIC,2022-08-01,1.561
LMIC,2022-09-01,1.593
LMIC,2022-10-01,1.622
LMIC,2022-11-01,1.636
LMIC,2022-12-01,1.656
LMIC,2023-01-01,1.661
LMIC,2023-02-01,1.671
LMIC,2023-03-01,1.674
LMIC,2023-04-01,1.679
LMIC,2023-05-01,1.681
LMIC,2023-06-01,1.682
LMIC,2023-07-01,1.691
LMIC,2023-08-01,1.692
LMIC,2023-09-01,1.692
UMIC,2021-08-01,1.039
UMIC,2021-09-01,1.189
UMIC,2021-10-01,1.402
UMIC,2021-11-01,1.606
UMIC,2021-12-01,1.778
UMIC,2022-01-01,1.911
UMIC,2022-02-01,2.046
UMIC,2022-03-01,2.122
UMIC,2022-04-01,2.193
UMIC,2022-05-01,2.261
UMIC,2022-06-01,2.277
UMIC,2022-07-01,2.305
UMIC,2022-08-01,2.325
UMIC,2022-09-01,2.33
UMIC,2022-10-01,2.34
UMIC,2022-11-01,2.352
UMIC,2022-12-01,2.37
UMIC,2023-01-01,2.382
UMIC,2023-02-01,2.388
UMIC,2023-03-01,2.391
UMIC,2023-04-01,2.398
UMIC,2023-05-01,2.399
UMIC,2023-06-01,2.404
UMIC,2023-07-01,2.405
UMIC,2023-08-01,2.406
UMIC,2023-09-01,2.406
