iso,cov_tot_cps,cov_hcw_cps,cov_old_cps
ABW,78.86,,94.05
AFG,35.41,40.4,50.74
AGO,26.31,,
AIA,69.19,,
ALB,44.37,73.77,71.63
AND,69.24,29.33,69.49
ARE,99.01,,
ARG,83.72,100.0,95.37
ARM,33.48,55.17,33.27
ASM,76.96,,
ATG,63.7,,
AUS,85.43,92.75,100.0
AUT,75.07,,89.59
AZE,48.16,,
BDI,0.28,16.16,
BEL,79.48,72.99,96.2
BEN,22.62,86.51,13.74
BFA,20.26,77.54,0.88
BGD,84.65,,56.45
BGR,29.91,42.86,38.7
BHR,72.1,,
BHS,42.12,,63.71
BIH,25.79,1.65,4.27
BLR,67.89,86.07,
BLZ,55.68,57.72,65.74
BMU,76.53,,
BOL,53.83,100.0,76.35
BRA,80.09,100.0,98.02
BRB,53.95,,
BRN,102.09,100.0,100.0
BTN,87.83,92.01,82.44
BWA,70.42,100.0,100.0
CAF,46.93,100.0,100.0
CAN,82.94,,97.05
CHE,66.12,64.65,84.3
CHL,92.62,100.0,94.46
CHN,87.3,93.05,89.16
CIV,46.11,39.32,100.0
CMR,11.51,19.14,5.6
COD,13.34,100.0,48.26
COG,11.85,,
COK,83.85,92.05,41.09
COL,72.64,100.0,96.27
COM,45.66,100.0,6.91
CPV,55.53,100.0,43.73
CRI,85.22,100.0,98.91
CUB,88.38,,
CUW,61.48,,
CYM,92.3,,
CYP,73.88,12.53,74.85
CZE,64.4,100.0,84.75
DEU,78.04,,90.04
DJI,35.33,,
DMA,42.59,31.74,45.79
DNK,82.16,91.86,99.62
DOM,56.12,,
DZA,14.78,,
ECU,80.67,100.0,90.98
EGY,40.95,,
ESP,79.18,100.0,95.62
EST,63.35,68.86,80.71
ETH,32.61,55.52,78.05
FIN,78.99,,94.41
FJI,71.52,100.0,89.66
FRA,81.76,67.98,92.89
FSM,70.34,100.0,100.0
GAB,11.57,45.4,100.0
GBR,74.78,,
GEO,29.74,52.81,43.24
GHA,32.83,65.51,80.39
GIN,35.98,100.0,4.34
GLP,36.48,,
GMB,22.31,100.0,16.92
GNB,19.15,66.46,100.0
GNQ,15.26,70.47,
GRC,72.25,94.44,80.51
GRD,34.69,15.99,
GTM,39.72,100.0,58.25
GUF,30.26,,
GUY,48.56,,100.0
HND,59.02,100.0,68.11
HRV,55.34,70.5,76.34
HTI,2.56,,
HUN,62.97,95.81,81.84
IDN,63.56,100.0,52.81
IND,68.99,100.0,85.45
IRL,81.81,100.0,100.0
IRN,69.72,100.0,85.8
IRQ,19.75,53.28,23.6
ISL,81.81,100.0,99.72
ISR,73.78,,97.63
ITA,82.97,,91.77
JAM,25.49,65.08,36.73
JOR,44.68,100.0,67.67
JPN,81.72,100.0,100.0
KAZ,69.6,0.18,
KEN,20.61,53.29,24.98
KGZ,20.3,58.87,38.24
KHM,87.64,96.98,100.0
KIR,68.21,73.32,100.0
KNA,50.76,,
KOR,87.17,95.61,100.0
KWT,78.33,,
LAO,77.98,100.0,76.14
LBN,35.37,100.0,59.04
LBR,73.77,42.48,20.93
LBY,17.99,,
LCA,29.94,,
LKA,68.9,100.0,74.51
LSO,43.79,24.29,50.39
LTU,68.25,,78.23
LUX,73.9,80.23,90.57
LVA,68.39,100.0,78.02
MAR,63.73,,
MCO,63.53,100.0,76.33
MDA,26.71,80.81,0.96
MDG,8.58,54.98,5.47
MDV,71.25,,88.01
MEX,63.09,,76.83
MHL,68.74,69.65,100.0
MKD,40.23,30.85,66.02
MLI,16.78,100.0,33.8
MLT,86.46,93.35,99.03
MMR,63.27,,
MNE,40.5,49.6,65.36
MNG,66.66,100.0,98.28
MNP,79.45,,
MOZ,59.11,48.82,47.23
MRT,33.07,,
MSR,39.05,,
MUS,85.56,,
MWI,19.59,100.0,23.03
MYS,85.04,97.15,89.98
NAM,21.12,78.98,31.49
NCL,64.73,,63.92
NER,22.55,29.9,5.59
NGA,34.21,54.45,78.61
NIC,91.6,87.55,74.86
NIU,101.05,100.0,39.16
NLD,71.29,,89.07
NOR,75.67,46.51,96.62
NPL,83.46,100.0,100.0
NRU,104.73,100.0,100.0
NZL,84.95,91.79,98.74
OMN,59.7,75.98,70.36
PAK,63.44,100.0,89.75
PAN,73.5,88.81,100.0
PER,86.68,100.0,89.04
PHL,71.59,100.0,100.0
PLW,101.03,100.0,98.66
PNG,3.57,100.0,10.85
POL,59.78,55.88,74.34
PRI,96.75,,
PRT,86.43,,97.78
PRY,49.69,66.87,81.48
PSE,34.83,,53.79
PYF,66.5,,82.37
QAT,98.99,,66.84
ROU,42.12,87.65,46.4
RUS,54.54,,
RWA,78.66,100.0,50.82
SAU,73.02,82.84,13.02
SDN,30.13,100.0,5.99
SEN,8.61,100.0,43.8
SGP,87.61,100.0,100.0
SLB,36.07,100.0,44.63
SLE,52.82,100.0,24.66
SLV,67.63,100.0,77.32
SMR,69.64,79.45,78.48
SOM,43.46,100.0,47.49
SRB,48.0,63.61,64.78
SSD,32.28,100.0,87.34
STP,51.02,88.2,29.32
SUR,40.55,,
SVK,51.14,,69.12
SVN,57.63,65.06,76.4
SWE,71.7,70.15,92.66
SWZ,36.25,100.0,72.14
SXM,62.43,,
SYC,84.94,,100.0
SYR,13.36,34.31,20.57
TCA,79.32,,
TCD,29.21,100.0,100.0
TGO,18.77,69.65,100.0
THA,77.58,100.0,59.53
TJK,54.21,91.29,
TKL,163.19,,
TKM,61.17,42.12,0.23
TLS,60.57,100.0,77.93
TON,73.19,100.0,100.0
TTO,51.36,3.33,
TUN,54.14,,86.68
TUR,63.05,,
TUV,80.61,84.0,22.29
TZA,53.85,55.0,100.0
UGA,28.52,100.0,36.45
UKR,34.65,60.89,32.72
URY,83.54,94.79,91.75
USA,68.79,,91.12
UZB,54.22,82.52,31.51
VCT,28.51,37.28,21.53
VEN,50.24,100.0,100.0
VGB,60.39,,
VNM,88.21,100.0,95.48
VUT,52.83,100.0,80.58
WLF,60.49,,
WSM,89.69,100.0,81.92
XKX,45.93,,
YEM,2.63,34.11,2.4
ZAF,35.47,,70.7
ZMB,49.25,100.0,67.12
ZWE,34.71,,
