name_long,iso,cov_tot_cps,cov_hcw_cps,cov_old_cps
Afghanistan,AFG,44.44,48.07,56.34
Albania,ALB,44.41,73.78,71.75
Algeria,DZA,14.78,,
Andorra,AND,69.24,29.33,69.5
Angola,AGO,28.82,,
Anguilla,AIA,69.19,,
Antigua and Barbuda,ATG,63.7,,
Argentina,ARG,83.72,100.0,95.37
Armenia,ARM,33.64,55.29,33.38
Aruba,ABW,78.95,,94.05
Australia,AUS,85.43,92.75,100.0
Austria,AUT,75.07,,89.59
Azerbaijan,AZE,48.21,,
Bahamas,BHS,42.46,,63.71
Bahrain,BHR,72.1,,
Bangladesh,BGD,85.74,,56.45
Barbados,BRB,53.95,,
Belarus,BLR,67.89,86.07,
Belgium,BEL,79.48,75.09,100.0
Belize,BLZ,55.68,57.72,75.6
Benin,BEN,22.62,86.51,13.74
Bermuda,BMU,76.53,,
Bhutan,BTN,87.83,92.01,82.44
Bolivia (Plurinational State of),BOL,53.93,100.0,76.37
Bosnia and Herzegovina,BIH,25.79,1.66,4.27
Botswana,BWA,70.74,100.0,100.0
Brazil,BRA,80.66,100.0,100.0
British Virgin Islands,VGB,60.39,,
Brunei Darussalam,BRN,102.11,100.0,100.0
Bulgaria,BGR,29.92,42.88,38.71
Burkina Faso,BFA,25.03,80.66,0.88
Burundi,BDI,0.31,17.09,
Cabo Verde,CPV,55.53,100.0,43.73
Cambodia,KHM,87.82,97.02,100.0
Cameroon,CMR,11.96,19.75,5.82
Canada,CAN,82.96,,75.01
Central African Republic,CAF,51.45,100.0,100.0
Cayman Islands,CYM,92.31,,
Chad,TCD,30.07,100.0,100.0
Chile,CHL,92.68,100.0,94.47
China,CHN,87.3,93.05,89.16
Colombia,COL,72.75,100.0,96.5
Comoros,COM,45.66,100.0,6.91
Congo,COG,11.85,,
Cook Islands,COK,83.85,92.05,41.09
Costa Rica,CRI,85.57,100.0,98.91
Côte d'Ivoire,CIV,46.11,39.32,100.0
Croatia,HRV,55.36,70.54,76.34
Cuba,CUB,88.43,,
Cyprus,CYP,73.89,12.53,74.85
Czechia,CZE,64.41,100.0,84.75
Denmark,DNK,82.16,91.83,99.98
Djibouti,DJI,35.6,,
Dominica,DMA,42.59,31.74,45.79
Dominican Republic,DOM,56.19,,
Democratic Republic of the Congo,COD,16.08,100.0,69.78
Ecuador,ECU,80.67,100.0,90.98
Egypt,EGY,41.37,,
El Salvador,SLV,67.74,100.0,77.36
Equatorial Guinea,GNQ,15.26,70.47,
Estonia,EST,63.37,68.87,80.72
Eswatini,SWZ,36.83,100.0,72.14
Ethiopia,ETH,37.97,55.52,86.95
Fiji,FJI,71.53,100.0,89.66
Finland,FIN,79.0,,94.42
France,FRA,81.78,67.98,92.9
French Polynesia,PYF,66.5,,82.37
Gabon,GAB,11.57,25.93,100.0
Gambia,GMB,22.31,100.0,16.92
Georgia,GEO,29.75,52.81,43.24
Germany,DEU,78.04,,90.04
Ghana,GHA,34.69,69.43,85.21
Greece,GRC,72.26,94.44,80.51
Grenada,GRD,34.69,15.99,
Guatemala,GTM,39.79,100.0,58.31
Guinea,GIN,35.99,100.0,4.34
Guinea-Bissau,GNB,27.12,66.46,100.0
Guyana,GUY,48.56,,100.0
Haiti,HTI,3.07,,
Honduras,HND,59.1,0.04,0.46
Hungary,HUN,62.97,95.81,81.84
Iceland,ISL,81.82,100.0,99.72
India,IND,68.99,100.0,85.45
Indonesia,IDN,63.94,100.0,52.63
Iran (Islamic Republic of),IRN,69.75,100.0,85.8
Iraq,IRQ,19.75,53.49,24.32
Ireland,IRL,81.84,56.79,1.15
Israel,ISR,73.78,,97.63
Italy,ITA,82.97,,91.78
Jamaica,JAM,25.63,65.08,36.73
Japan,JPN,81.77,100.0,100.0
Jordan,JOR,44.68,100.0,67.67
Kazakhstan,KAZ,69.61,0.18,
Kenya,KEN,20.63,53.29,24.98
Kiribati,KIR,68.21,73.32,100.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,45.93,,
Kuwait,KWT,78.35,,
Kyrgyzstan,KGZ,20.43,59.07,38.62
Lao People's Democratic Republic,LAO,78.23,100.0,77.89
Latvia,LVA,68.4,100.0,78.02
Lebanon,LBN,35.37,100.0,59.2
Lesotho,LSO,43.79,24.29,50.39
Liberia,LBR,73.77,42.48,20.93
