iso,income_group,cov_tot_cps,cov_hcw_cps,cov_old_cps
AFG,LIC,44.44,48.07,56.34
ALB,UMIC,44.41,73.78,71.75
AND,HIC,69.24,29.33,69.5
ARG,UMIC,83.72,100.0,95.37
ARM,UMIC,33.64,55.29,33.38
ABW,HIC,78.95,,94.05
AUS,HIC,85.43,92.75,100.0
AUT,HIC,75.07,,89.59
BHS,HIC,42.46,,63.71
BGD,LMIC,85.74,,56.45
BEL,HIC,79.48,75.09,100.0
BLZ,LMIC,55.68,57.72,75.6
BEN,LMIC,22.62,86.51,13.74
BTN,LMIC,87.83,92.01,82.44
BOL,LMIC,53.93,100.0,76.37
BIH,UMIC,25.79,1.66,4.27
BWA,UMIC,70.74,100.0,100.0
BRA,UMIC,80.66,100.0,100.0
BRN,HIC,102.11,100.0,100.0
BGR,UMIC,29.92,42.88,38.71
BFA,LIC,25.03,80.66,0.88
CPV,LMIC,55.53,100.0,43.73
KHM,LMIC,87.82,97.02,100.0
CMR,LMIC,11.96,19.75,5.82
CAN,HIC,82.96,,75.01
CAF,LIC,51.45,100.0,100.0
TCD,LIC,30.07,100.0,100.0
CHL,HIC,92.68,100.0,94.47
CHN,UMIC,87.3,93.05,89.16
COL,UMIC,72.75,100.0,96.5
COM,LMIC,45.66,100.0,6.91
COK,Other,83.85,92.05,41.09
CRI,UMIC,85.57,100.0,98.91
CIV,LMIC,46.11,39.32,100.0
HRV,HIC,55.36,70.54,76.34
CYP,HIC,73.89,12.53,74.85
CZE,HIC,64.41,100.0,84.75
DNK,HIC,82.16,91.83,99.98
DMA,UMIC,42.59,31.74,45.79
COD,LIC,16.08,100.0,69.78
ECU,UMIC,80.67,100.0,90.98
SLV,LMIC,67.74,100.0,77.36
EST,HIC,63.37,68.87,80.72
SWZ,LMIC,36.83,100.0,72.14
ETH,LIC,37.97,55.52,86.95
FJI,UMIC,71.53,100.0,89.66
FIN,HIC,79.0,,94.42
FRA,HIC,81.78,67.98,92.9
PYF,HIC,66.5,,82.37
GAB,UMIC,11.57,25.93,100.0
GMB,LIC,22.31,100.0,16.92
GEO,UMIC,29.75,52.81,43.24
DEU,HIC,78.04,,90.04
GHA,LMIC,34.69,69.43,85.21
GRC,HIC,72.26,94.44,80.51
GTM,UMIC,39.79,100.0,58.31
GIN,LIC,35.99,100.0,4.34
GNB,LIC,27.12,66.46,100.0
GUY,UMIC,48.56,,100.0
HND,LMIC,59.1,0.04,68.11
HKG,HIC,,,87.04
HUN,HIC,62.97,95.81,81.84
ISL,HIC,81.82,100.0,99.72
IND,LMIC,68.99,100.0,85.45
IDN,LMIC,63.94,100.0,52.63
IRN,LMIC,69.75,100.0,85.8
IRQ,UMIC,19.75,53.49,24.32
IRL,HIC,81.84,56.79,79.41
ISR,HIC,73.78,,97.63
ITA,HIC,82.97,,91.78
JAM,UMIC,25.63,65.08,36.73
JPN,HIC,81.77,100.0,100.0
JOR,UMIC,44.68,100.0,67.67
KEN,LMIC,20.63,53.29,24.98
KIR,LMIC,68.21,73.32,100.0
KGZ,LMIC,20.43,59.07,38.62
LAO,LMIC,78.23,100.0,77.89
LVA,HIC,68.4,100.0,78.02
LBN,UMIC,35.37,100.0,59.2
LSO,LMIC,43.79,24.29,50.39
LBR,LIC,73.77,42.48,20.93
LTU,HIC,68.25,,78.23
LUX,HIC,73.9,80.23,90.57
MDG,LIC,9.49,56.25,5.86
MWI,LIC,22.08,100.0,27.0
MYS,UMIC,85.05,97.15,89.98
MDV,UMIC,71.26,,88.01
MLI,LIC,17.94,100.0,37.83
MLT,HIC,86.46,93.35,99.03
MEX,UMIC,63.09,,76.69
MCO,HIC,63.53,100.0,76.33
MNG,LMIC,66.66,100.0,98.28
MNE,UMIC,40.5,49.6,65.36
MOZ,LIC,68.24,48.82,47.23
NAM,UMIC,21.67,79.19,31.49
NRU,HIC,104.73,100.0,100.0
NPL,LMIC,83.71,100.0,100.0
NLD,HIC,71.29,,89.07
NCL,HIC,64.73,,63.92
NZL,HIC,84.95,91.79,98.89
NIC,LMIC,92.34,87.55,74.86
NER,LIC,22.65,29.9,5.59
NGA,LMIC,38.68,58.44,91.49
NIU,Other,101.05,100.0,39.16
MKD,UMIC,40.23,30.85,66.02
NOR,HIC,75.68,21.05,39.71
OMN,HIC,59.7,75.98,70.36
PAK,LMIC,63.59,100.0,100.0
PLW,HIC,101.03,100.0,98.66
PAN,UMIC,73.57,88.82,100.0
PNG,LMIC,3.72,100.0,11.04
PRY,UMIC,49.74,66.87,83.65
PER,UMIC,86.91,100.0,91.67
PHL,LMIC,71.59,100.0,100.0
POL,HIC,59.81,55.89,74.35
PRT,HIC,86.47,,95.35
QAT,HIC,99.0,,66.56
KOR,HIC,87.17,95.61,100.0
MDA,UMIC,26.74,80.82,0.96
ROU,UMIC,42.12,87.65,46.4
RWA,LIC,80.29,100.0,50.82
VCT,UMIC,28.51,37.28,21.53
WSM,LMIC,89.69,100.0,81.92
SMR,HIC,69.64,79.45,78.48
STP,LMIC,51.1,100.0,64.28
SAU,HIC,73.06,82.99,67.78
SEN,LMIC,8.98,100.0,46.73
SRB,UMIC,48.0,63.61,64.78
SYC,HIC,84.97,,100.0
SLE,LIC,62.2,100.0,17.81
SGP,HIC,89.72,100.0,100.0
SVK,HIC,51.14,,69.12
SVN,HIC,57.63,65.06,76.4
SLB,LMIC,36.98,100.0,44.96
SOM,LIC,48.24,100.0,47.49
ZAF,UMIC,35.47,,70.7
SSD,LIC,37.93,100.0,100.0
ESP,HIC,79.19,100.0,95.62
LKA,LMIC,68.9,100.0,74.51
SDN,LIC,30.6,100.0,8.85
SWE,HIC,71.7,70.15,92.66
CHE,HIC,66.13,64.65,84.3
SYR,LIC,13.48,35.24,19.14
TZA,LMIC,53.85,68.77,100.0
THA,UMIC,77.62,100.0,59.53
TLS,LMIC,60.65,100.0,77.97
TGO,LIC,18.77,69.65,100.0
TON,UMIC,73.22,100.0,100.0
TUN,LMIC,54.17,,86.68
TKM,UMIC,61.17,42.12,0.23
TUV,UMIC,80.61,84.0,22.29
UGA,LIC,28.55,100.0,36.45
UKR,LMIC,34.65,60.89,32.72
URY,HIC,83.55,94.79,92.84
USA,HIC,68.87,,91.16
UZB,LMIC,54.73,83.01,31.69
VUT,LMIC,52.83,100.0,80.58
VEN,UMIC,50.24,100.0,100.0
VNM,LMIC,88.31,100.0,95.48
PSE,LMIC,34.83,,53.79
YEM,LIC,2.68,33.83,9.41
ZMB,LMIC,49.8,100.0,67.12
