iso,cov_total_fv,cov_hcw_fv,cov_old_fv
AFG,0.4,0.1,0.5
ALB,0.4,0.7,0.7
DZA,0.1,,
ASM,0.8,,
AND,0.7,0.3,0.7
AGO,0.3,,
AIA,0.7,,
ATG,0.6,,
ARG,0.8,1.0,1.0
ARM,0.3,0.6,0.3
ABW,0.8,,0.9
AUS,0.9,0.9,1.0
AUT,0.8,,0.9
AZE,0.5,,
BHS,0.4,,0.6
BHR,0.7,,
BGD,0.8,,0.6
BRB,0.5,,
BLR,0.7,0.9,
BEL,0.8,0.8,1.0
BLZ,0.6,0.6,0.7
BEN,0.2,0.9,0.1
BMU,0.8,,
BTN,0.9,0.9,0.8
BOL,0.5,1.0,0.8
BIH,0.3,0.0,0.0
BWA,0.7,1.0,1.0
BRA,0.8,1.0,1.0
VGB,0.6,,
BRN,1.0,1.0,1.0
BGR,0.3,0.4,0.4
BFA,0.2,0.8,0.0
BDI,0.0,0.2,
CPV,0.6,1.0,0.4
KHM,0.9,1.0,1.0
CMR,0.1,0.2,0.1
CAN,0.8,,1.0
CAF,0.5,1.0,1.0
CYM,0.9,,
TCD,0.4,1.0,1.0
CHL,0.9,1.0,0.9
CHN,0.9,0.9,0.9
MNP,0.8,,
COL,0.7,1.0,1.0
COM,0.5,1.0,0.1
COG,0.1,,
COK,0.8,0.9,0.4
CRI,0.9,1.0,1.0
CIV,0.5,0.4,1.0
HRV,0.6,0.7,0.8
CUB,0.9,,
CUW,0.6,,
CYP,0.7,0.1,0.7
CZE,0.6,1.0,0.8
DNK,0.8,0.9,1.0
DJI,0.4,,
DMA,0.4,0.3,0.5
DOM,0.6,,
COD,0.1,1.0,0.5
ECU,0.8,1.0,0.9
EGY,0.4,,
SLV,0.7,1.0,0.8
GNQ,0.2,0.7,
EST,0.6,0.7,0.8
SWZ,0.4,1.0,0.7
ETH,0.3,0.6,0.8
FJI,0.7,1.0,0.9
FIN,0.8,,0.9
FRA,0.8,0.7,0.9
GUF,0.3,,
PYF,0.7,,0.8
GAB,0.1,0.5,1.0
GMB,0.2,1.0,0.2
GEO,0.3,0.5,0.4
DEU,0.8,,0.9
GHA,0.3,0.7,0.8
GRC,0.7,0.9,0.8
GRD,0.3,0.2,
GLP,0.4,,
GTM,0.4,1.0,0.6
GIN,0.4,1.0,0.0
GNB,0.2,0.7,1.0
GUY,0.5,,1.0
HTI,0.0,,
HND,0.6,1.0,0.7
HKG,,,0.9
HUN,0.6,1.0,0.8
ISL,0.8,1.0,1.0
IND,0.7,1.0,0.9
IDN,0.6,1.0,0.5
IRN,0.7,1.0,0.9
IRQ,0.2,0.5,0.2
IRL,0.8,1.0,1.0
ISR,0.7,,1.0
ITA,0.8,,0.9
JAM,0.3,0.7,0.4
JPN,0.8,1.0,1.0
JOR,0.4,1.0,0.7
KAZ,0.7,0.0,
KEN,0.2,0.5,0.2
KIR,0.7,0.7,1.0
XKX,0.5,,
KWT,0.8,,
KGZ,0.2,0.6,0.4
LAO,0.8,1.0,0.8
LVA,0.7,1.0,0.8
LBN,0.4,1.0,0.6
LSO,0.4,0.2,0.5
LBR,0.7,0.4,0.2
LBY,0.2,,
LTU,0.7,,0.8
LUX,0.7,0.8,0.9
MAC,,,
MDG,0.1,0.5,0.1
MWI,0.2,1.0,0.2
MYS,0.9,1.0,0.9
MDV,0.7,,0.9
MLI,0.2,1.0,0.3
MLT,0.9,0.9,1.0
MHL,0.7,0.7,1.0
MRT,0.3,,
MUS,0.9,,
MEX,0.6,,0.8
FSM,0.7,1.0,1.0
MCO,0.6,1.0,0.8
MNG,0.7,1.0,1.0
MNE,0.4,0.5,0.7
MSR,0.4,,
MAR,0.6,,
MOZ,0.6,0.5,0.5
MMR,0.6,,
NAM,0.2,0.8,0.3
NRU,1.0,1.0,1.0
NPL,0.8,1.0,1.0
NLD,0.7,,0.9
NCL,0.6,,0.6
NZL,0.8,0.9,1.0
NIC,0.9,0.9,0.7
NER,0.2,0.3,0.1
NGA,0.3,0.5,0.8
NIU,1.0,1.0,0.4
MKD,0.4,0.3,0.7
