iso,uhc_sci,cov_tot_a1d_2021,cov_tot_a1d_2022,cov_tot_a1d_2023
AFG,40.88461,4.0,27.6,46.0
ALB,63.76895,28.8,46.4,46.9
DZA,74.11164,10.0,17.9,17.9
AND,78.86248,68.6,74.9,75.0
AGO,36.72917,3.5,43.2,49.7
ATG,75.79523,41.4,65.6,65.6
ARG,78.52537,61.8,91.3,91.4
ARM,68.19311,6.1,38.1,38.2
AUS,86.77878,49.3,87.9,88.0
AUT,84.53304,59.8,77.4,77.5
AZE,65.65727,40.7,53.2,53.6
BHS,77.19485,21.7,43.8,44.5
BHR,76.03581,67.3,72.9,72.9
BGD,51.61948,11.2,79.6,91.9
BRB,76.92128,38.1,56.8,57.0
BLR,78.56763,17.4,68.7,69.2
BEL,85.59243,68.2,80.2,80.3
BLZ,67.60394,41.5,62.9,65.0
BEN,37.89256,0.5,26.4,30.5
BTN,60.42171,73.5,90.2,90.6
BOL,65.06229,33.7,63.1,64.2
BIH,66.47112,18.6,28.8,28.8
BWA,55.17985,15.6,63.9,83.0
BRA,80.41688,60.9,86.2,88.8
BRN,78.34303,51.0,102.7,103.1
BGR,73.4856,18.3,30.2,30.3
BFA,39.60456,0.5,14.7,29.1
BDI,41.46003,,0.2,0.3
CPV,71.17687,42.5,64.1,64.2
KHM,57.98489,64.2,90.7,91.6
CMR,43.87635,1.3,6.0,14.0
CAN,91.03792,74.0,86.4,86.5
CAF,32.26192,1.7,28.8,53.8
TCD,29.40162,0.3,22.8,30.3
CHL,82.27822,71.6,94.5,94.7
CHN,81.03551,73.0,88.9,89.6
COL,79.57326,45.7,83.8,84.5
COM,48.11962,20.1,49.6,50.5
COG,41.00078,1.5,12.6,12.6
COK,45.98177,64.9,85.7,86.0
CRI,81.08141,59.8,87.6,91.1
CIV,42.77569,4.2,40.6,51.4
HRV,80.15187,42.2,57.1,57.2
CUB,82.80738,48.6,94.4,94.9
CYP,80.68617,63.1,75.1,75.4
CZE,84.24297,53.5,65.1,65.2
PRK,67.97488,,,
COD,41.73901,0.1,4.8,19.0
DNK,81.96408,71.4,90.8,90.8
DJI,43.91182,1.9,23.0,37.7
DMA,49.14794,31.0,45.7,45.8
DOM,76.98295,53.6,67.0,67.5
ECU,76.6337,59.7,86.4,86.9
EGY,70.2333,6.1,51.4,55.6
SLV,78.04086,54.3,71.1,71.8
GNQ,45.74751,14.3,19.3,19.3
ERI,44.88894,,,
EST,79.31091,51.7,63.5,63.6
SWZ,55.86385,14.6,40.4,45.3
ETH,35.14274,1.8,37.6,45.7
FJI,58.24706,62.8,79.1,79.4
FIN,85.67915,68.6,82.2,82.3
FRA,84.79053,74.5,83.9,84.1
GAB,48.97425,3.5,13.9,14.0
GMB,46.1508,2.7,19.8,27.9
GEO,68.22667,19.4,32.4,32.6
DEU,87.96261,65.3,77.9,78.0
GHA,47.78764,2.8,36.6,44.6
GRC,77.18728,55.2,73.8,73.9
GRD,70.44362,22.4,39.1,39.3
GTM,58.68237,18.3,48.6,49.9
GIN,39.92434,6.1,36.9,58.5
GNB,37.24882,2.1,27.6,37.3
GUY,75.93155,39.6,62.2,63.0
HTI,54.13732,0.3,2.9,4.6
HND,64.30881,22.6,63.8,66.6
