iso,uhc_sci,cov_total_a1d_2021,cov_total_a1d_2022
AFG,40.88461,0.0,0.1
ALB,63.76895,0.2,0.5
DZA,74.11164,0.1,0.2
AND,78.86248,0.6,0.7
AGO,36.72917,0.0,0.4
ATG,75.79523,0.4,0.7
ARG,78.52537,0.4,0.9
ARM,68.19311,0.0,0.4
AUS,86.77878,0.3,0.9
AUT,84.53304,0.5,0.8
AZE,65.65727,0.2,0.5
BHS,77.19485,0.1,0.4
BHR,76.03581,0.6,0.7
BGD,51.61948,0.0,0.8
BRB,76.92128,0.3,0.6
BLR,78.56763,0.1,0.7
BEL,85.59243,0.6,0.8
BLZ,67.60394,0.2,0.6
BEN,37.89256,0.0,0.3
BTN,60.42171,0.6,0.9
BOL,65.06229,0.2,0.6
BIH,66.47112,0.1,0.3
BWA,55.17985,0.1,0.6
BRA,80.41688,0.3,0.9
BRN,78.34303,0.2,1.0
BGR,73.4856,0.1,0.3
BFA,39.60456,0.0,0.1
BDI,41.46003,,0.0
CPV,71.17687,0.1,0.6
KHM,57.98489,0.3,0.9
CMR,43.87635,0.0,0.1
CAN,91.03792,0.7,0.9
CAF,32.26192,0.0,0.2
TCD,29.40162,0.0,0.1
CHL,82.27822,0.7,0.9
CHN,81.03551,0.4,0.9
COL,79.57326,0.2,0.8
COM,48.11962,0.0,0.5
COG,41.00078,0.0,0.1
COK,45.98177,0.6,0.9
CRI,81.08141,0.3,0.9
CIV,42.77569,0.0,0.3
HRV,80.15187,0.4,0.6
CUB,82.80738,0.2,0.9
CYP,80.68617,0.5,0.7
CZE,84.24297,0.5,0.7
PRK,67.97488,,
COD,41.73901,0.0,0.0
DNK,81.96408,0.6,0.9
DJI,43.91182,0.0,0.2
DMA,49.14794,0.3,0.5
DOM,76.98295,0.5,0.7
ECU,76.6337,0.2,0.9
EGY,70.2333,0.0,0.5
SLV,78.04086,0.3,0.7
GNQ,45.74751,0.1,0.2
ERI,44.88894,,
EST,79.31091,0.4,0.6
SWZ,55.86385,0.0,0.4
ETH,35.14274,0.0,0.4
FJI,58.24706,0.3,0.8
FIN,85.67915,0.6,0.8
FRA,84.79053,0.5,0.8
GAB,48.97425,0.0,0.1
GMB,46.1508,0.0,0.2
GEO,68.22667,0.0,0.3
DEU,87.96261,0.5,0.8
GHA,47.78764,0.0,0.3
GRC,77.18728,0.5,0.7
GRD,70.44362,0.2,0.4
GTM,58.68237,0.0,0.5
GIN,39.92434,0.0,0.3
GNB,37.24882,0.0,0.3
GUY,75.93155,0.3,0.6
HTI,54.13732,,0.0
HND,64.30881,0.1,0.6
HUN,79.45746,0.5,0.6
ISL,88.9183,0.7,0.8
IND,63.33427,0.2,0.7
IDN,54.77663,0.1,0.7
IRN,74.30833,0.0,0.8
IRQ,58.50789,0.0,0.3
IRL,82.67559,0.5,0.8
ISR,85.4992,0.6,0.8
ITA,83.83604,0.6,0.8
JAM,74.14455,0.1,0.3
JPN,83.48831,0.2,0.8
JOR,64.90748,0.2,0.5
KAZ,80.328,0.2,0.6
KEN,53.33536,0.0,0.2
KIR,47.71428,0.1,0.7
KWT,77.81492,0.0,0.8
KGZ,68.54345,0.0,0.2
LAO,51.83316,0.1,0.8
LVA,74.62745,0.3,0.7
LBN,72.61969,0.1,0.4
LSO,53.24809,0.0,0.4
LBR,44.70966,0.0,0.5
LBY,62.11962,0.1,0.3
LTU,75.31574,0.4,0.7
LUX,83.11001,0.5,0.7
MDG,34.94375,0.0,0.0
MWI,48.27469,0.0,0.1
MYS,75.99274,0.2,0.9
MDV,61.41676,0.6,0.7
MLI,41.28001,0.0,0.1
MLT,85.23704,0.6,0.9
MHL,58.94324,0.3,0.7
MRT,40.12226,0.0,0.4
MUS,65.65095,0.4,0.8
MEX,74.54783,0.2,0.7
FSM,47.65958,0.3,0.5
MCO,85.90423,0.5,0.7
MNG,64.95104,0.6,0.7
MNE,71.94123,0.2,0.4
MAR,69.45202,0.3,0.7
MOZ,43.9927,0.0,0.4
MMR,52.44712,0.0,0.6
NAM,62.63717,0.0,0.2
NRU,60.35399,0.7,1.0
NPL,53.66346,0.1,0.8
NLD,85.213,0.6,0.8
NZL,84.83291,0.1,0.9
NIC,70.31471,0.0,0.9
NER,34.98468,0.0,0.1
NGA,38.42341,0.0,0.2
NIU,43.59322,0.7,0.8
MKD,73.52955,0.2,0.4
NOR,87.03179,0.5,0.8
OMN,69.89807,0.1,0.6
PAK,45.20959,0.1,0.7
PLW,64.77206,0.8,1.1
PAN,78.21974,0.2,0.8
PNG,30.39468,0.0,0.0
PRY,72.27225,0.1,0.6
