iso,secured_vaccines_pc,name_long,date,adm_tot_td_add_pc,del_dose_add_pc
AFG,1.33,Afghanistan,2023-09,0.551,0.637
ALB,1.2,Albania,2023-09,1.07,1.186
DZA,1.15,Algeria,2023-09,0.348,0.733
AND,2.19,Andorra,2023-09,2.033,2.236
AGO,1.68,Angola,2023-09,0.831,0.974
AIA,,Anguilla,2023-09,1.641,1.804
ATG,2.58,Antigua and Barbuda,2023-09,1.394,2.602
ARG,3.33,Argentina,2023-09,2.426,3.551
ARM,1.25,Armenia,2023-09,0.729,1.005
ABW,,Aruba,2023-09,2.032,1.801
AUS,9.9,Australia,2023-09,2.686,3.688
AUT,6.32,Austria,2023-09,2.292,5.873
AZE,1.49,Azerbaijan,2023-09,1.364,1.503
BHS,1.7,Bahamas,2023-09,0.932,1.499
BHR,2.18,Bahrain,2023-09,2.043,2.248
BGD,2.69,Bangladesh,2023-09,2.187,2.585
BRB,1.8,Barbados,2023-09,1.328,1.8
BLR,1.74,Belarus,2023-09,2.328,2.561
BEL,6.32,Belgium,2023-09,2.527,2.321
BLZ,2.67,Belize,2023-09,1.285,2.446
BEN,0.92,Benin,2023-09,0.349,0.566
BMU,,Bermuda,2023-09,2.12,2.332
BTN,3.26,Bhutan,2023-09,2.607,3.22
BOL,2.54,Bolivia (Plurinational State of),2023-09,1.372,2.094
BIH,1.24,Bosnia and Herzegovina,2023-09,0.587,0.88
BWA,2.41,Botswana,2023-09,1.349,1.577
BRA,2.83,Brazil,2023-09,2.415,3.045
VGB,,British Virgin Islands,2023-09,1.371,1.508
BRN,3.14,Brunei Darussalam,2023-09,2.956,3.251
BGR,6.32,Bulgaria,2023-09,0.664,2.079
BFA,1.25,Burkina Faso,2023-09,0.378,0.536
BDI,1.24,Burundi,2023-09,0.003,0.068
CPV,2.11,Cabo Verde,2023-09,1.547,2.109
KHM,4.44,Cambodia,2023-09,2.847,3.124
CMR,1.2,Cameroon,2023-09,0.182,0.267
CAN,8.32,Canada,2023-09,2.586,3.279
CAF,1.23,Central African Republic,2023-09,0.692,1.046
CYM,,Cayman Islands,2023-09,2.31,2.541
TCD,1.21,Chad,2023-09,0.546,0.74
CHL,4.52,Chile,2023-09,3.467,3.683
CHN,2.61,China,2023-09,2.39,2.61
COL,2.74,Colombia,2023-09,1.779,2.848
COM,2.01,Comoros,2023-09,0.96,1.36
COG,1.46,Congo,2023-09,0.151,0.62
COK,,Cook Islands,2023-09,2.282,2.559
CRI,2.96,Costa Rica,2023-09,2.625,3.469
CIV,1.22,Côte d'Ivoire,2023-09,0.958,1.117
HRV,6.32,Croatia,2023-09,1.339,2.983
CUB,3.99,Cuba,2023-09,3.364,4.429
CYP,6.48,Cyprus,2023-09,2.093,3.568
CZE,6.34,Czechia,2023-09,1.741,3.31
DNK,6.32,Denmark,2023-09,2.596,2.436
DJI,2.2,Djibouti,2023-09,0.397,2.171
DMA,3.97,Dominica,2023-09,0.94,3.35
DOM,2.87,Dominican Republic,2023-09,1.472,1.66
COD,1.51,Democratic Republic of the Congo,2023-09,0.21,0.432
ECU,3.02,Ecuador,2023-09,2.239,3.2
EGY,2.24,Egypt,2023-09,1.101,1.211
SLV,2.53,El Salvador,2023-09,1.762,2.084
GNQ,0.59,Equatorial Guinea,2023-09,0.348,0.705
EST,6.32,Estonia,2023-09,1.659,3.383
SWZ,1.24,Eswatini,2023-09,0.75,0.825
ETH,1.14,Ethiopia,2023-09,0.599,0.686
FJI,2.68,Fiji,2023-09,1.735,2.048
FIN,6.32,Finland,2023-09,2.4,3.712
FRA,6.32,France,2023-09,2.43,4.005
PYF,,French Polynesia,2023-09,1.709,1.97
GAB,1.08,Gabon,2023-09,0.257,0.969
GMB,1.36,Gambia,2023-09,0.598,0.93
GEO,1.42,Georgia,2023-09,0.686,0.902
DEU,6.68,Germany,2023-09,2.323,2.696
GHA,1.45,Ghana,2023-09,0.825,1.075
GRC,6.32,Greece,2023-09,2.051,3.376
GRD,2.02,Grenada,2023-09,0.806,2.105
GTM,1.28,Guatemala,2023-09,1.137,1.263
GIN,1.5,Guinea,2023-09,0.811,0.99
GNB,1.62,Guinea-Bissau,2023-09,0.419,0.851
GUY,2.52,Guyana,2023-09,1.221,1.724
HTI,1.0,Haiti,2023-09,0.058,0.155
HND,2.15,Honduras,2023-09,1.727,1.975
HUN,7.05,Hungary,2023-09,1.696,3.391
ISL,3.63,Iceland,2023-09,2.389,4.526
IND,2.01,India,2023-09,1.599,1.759
IDN,2.17,Indonesia,2023-09,1.636,1.802
IRN,2.24,Iran (Islamic Republic of),2023-09,1.851,2.066
IRQ,0.94,Iraq,2023-09,0.486,0.537
IRL,6.32,Ireland,2023-09,2.495,3.293
ISR,5.54,Israel,2023-09,2.07,2.37
ITA,7.48,Italy,2023-09,2.52,2.642
JAM,1.86,Jamaica,2023-09,0.515,1.407
JPN,6.68,Japan,2023-09,3.22,3.53
JOR,1.28,Jordan,2023-09,0.986,1.098
KAZ,1.4,Kazakhstan,2023-09,2.043,1.237
KEN,1.17,Kenya,2023-09,0.442,0.641
KIR,2.67,Kiribati,2023-09,1.842,3.027
XKX,,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2023-09,1.023,1.497
KWT,2.08,Kuwait,2023-09,1.934,2.128
KGZ,1.58,Kyrgyzstan,2023-09,0.48,0.981
LAO,2.54,Lao People's Democratic Republic,2023-09,1.908,2.515
LVA,6.43,Latvia,2023-09,1.562,4.939
LBN,1.3,Lebanon,2023-09,0.852,1.06
LSO,1.73,Lesotho,2023-09,0.625,1.202
LBR,1.28,Liberia,2023-09,0.882,1.005
LBY,1.56,Libya,2023-09,0.544,1.02
LTU,6.32,Lithuania,2023-09,1.622,3.331
LUX,6.32,Luxembourg,2023-09,2.137,4.645
MDG,1.01,Madagascar,2023-09,0.112,0.359
MWI,1.01,Malawi,2023-09,0.437,0.593
