iso,secured_vaccines_pc,adm_tot_td_add_pc,del_dose_add_pc
AFG,1.33,0.551,0.637
ALB,1.2,1.07,1.186
DZA,1.15,0.348,0.733
AND,2.19,2.033,2.236
AGO,1.68,0.831,0.974
AIA,,1.641,1.804
ATG,2.58,1.394,2.602
ARG,3.33,2.426,3.551
ARM,1.25,0.729,1.005
ABW,,2.032,2.032
AUS,9.9,2.686,3.688
AUT,6.32,2.292,5.873
AZE,1.49,1.364,1.503
BHS,1.7,0.932,1.499
BHR,2.18,2.043,2.248
BGD,2.69,2.187,2.585
BRB,1.8,1.328,1.8
BLR,1.74,2.328,2.561
BEL,6.32,2.527,2.527
BLZ,2.67,1.285,2.446
BEN,0.92,0.349,0.566
BMU,,2.12,2.332
BTN,3.26,2.607,3.22
BOL,2.54,1.372,2.094
BIH,1.24,0.587,0.88
BWA,2.41,1.349,1.577
BRA,2.83,2.415,3.045
VGB,,1.371,1.508
BRN,3.14,2.956,3.251
BGR,6.32,0.664,2.079
BFA,1.25,0.378,0.536
BDI,1.24,0.003,0.068
CPV,2.11,1.547,2.109
KHM,4.44,2.847,3.124
CMR,1.2,0.182,0.267
CAN,8.32,2.586,3.279
CAF,1.23,0.692,1.046
CYM,,2.31,2.541
TCD,1.21,0.546,0.74
CHL,4.52,3.467,3.683
CHN,2.61,2.39,2.61
COL,2.74,1.779,2.848
COM,2.01,0.96,1.36
COG,1.46,0.151,0.62
COK,,2.282,2.559
CRI,2.96,2.625,3.469
CIV,1.22,0.958,1.117
HRV,6.32,1.339,2.983
CUB,3.99,3.364,4.429
CYP,6.48,2.093,3.568
CZE,6.34,1.741,3.31
DNK,6.32,2.596,2.596
DJI,2.2,0.397,2.171
DMA,3.97,0.94,3.35
DOM,2.87,1.472,1.66
COD,1.51,0.21,0.432
ECU,3.02,2.239,3.2
EGY,2.24,1.101,1.211
SLV,2.53,1.762,2.084
GNQ,0.59,0.348,0.705
EST,6.32,1.659,3.383
SWZ,1.24,0.75,0.825
ETH,1.14,0.599,0.686
FJI,2.68,1.735,2.048
FIN,6.32,2.4,3.712
FRA,6.32,2.43,4.005
PYF,,1.709,1.97
GAB,1.08,0.257,0.969
GMB,1.36,0.598,0.93
GEO,1.42,0.686,0.902
DEU,6.68,2.323,2.696
GHA,1.45,0.825,1.075
GRC,6.32,2.051,3.376
GRD,2.02,0.806,2.105
GTM,1.28,1.137,1.263
GIN,1.5,0.811,0.99
GNB,1.62,0.419,0.851
GUY,2.52,1.221,1.724
HTI,1.0,0.058,0.155
HND,2.15,1.727,1.975
HUN,7.05,1.696,3.391
ISL,3.63,2.389,4.526
IND,2.01,1.599,1.759
IDN,2.17,1.636,1.802
IRN,2.24,1.851,2.066
IRQ,0.94,0.486,0.537
IRL,6.32,2.495,3.293
ISR,5.54,2.07,2.37
ITA,7.48,2.52,2.642
JAM,1.86,0.515,1.407
JPN,6.68,3.22,3.53
JOR,1.28,0.986,1.098
KAZ,1.4,2.043,2.043
KEN,1.17,0.442,0.641
KIR,2.67,1.842,3.027
XKX,,1.023,1.497
KWT,2.08,1.934,2.128
KGZ,1.58,0.48,0.981
LAO,2.54,1.908,2.515
LVA,6.43,1.562,4.939
LBN,1.3,0.852,1.06
LSO,1.73,0.625,1.202
LBR,1.28,0.882,1.005
LBY,1.56,0.544,1.02
LTU,6.32,1.622,3.331
LUX,6.32,2.137,4.645
MDG,1.01,0.112,0.359
MWI,1.01,0.437,0.593
MYS,2.88,2.244,2.701
MDV,4.02,1.761,2.877
